seller_id,avg_review_score,review_count,total_orders
066a6914e1ebf3ea95a216c73a986b91,3.97,73,68
59b22a78efb79a4797979612b885db36,3.97,132,125
138dbe45fc62f1e244378131a6801526,3.98,58,49
002100f778ceb8431b7a1020ff7ab48f,3.98,55,51
fa1a9dec3a9940c072684a46728bf1fc,3.98,59,55
3bb548e3cb7f70f28e3f11ee9dce0e59,3.98,53,46
5dceca129747e92ff8ef7a997dc4f8ca,3.99,342,325
1f50f920176fa81dab994f9023523100,3.99,1923,1404
50c9975695009e5e6473912e83a6d1da,3.99,67,50
34056b8b55c1775a22af2331670a799c,4.0,78,78
06a2c3af7b3aee5d69171b0e14f0ee87,4.0,398,392
0b90b6df587eb83608a64ea8b390cf07,4.0,209,164
0691148aee60ca47977c187804f935ae,4.0,53,47
9674754b5a0cb32b638cec001178f799,4.0,97,86
7d13fca15225358621be4086e1eb0964,4.0,574,565
9b013e03b2ab786505a1d3b5c0756754,4.0,219,174
a6fe7de3d16f6149ffe280349a8535a0,4.0,51,51
05d2173d43ea568aa0540eba70d2ca76,4.0,64,62
8b321bb669392f5163d04c59e235e066,4.0,1014,943
813348c996469b40f2e028d5429d3495,4.0,198,179
17ca9b9e9b9ef8fdb529001b49ebb50f,4.01,129,116
dfa0c4c6229ab200a4a1336b4d7128ff,4.01,86,77
6fc26fe110feebd80a433e1f012a84f9,4.01,68,35
79ebd9a61bac3eaf882805ed4ecfa12a,4.01,143,136
86ccac0b835037332a596a33b6949ee1,4.01,209,180
870d0118f7a9d85960f29ad89d5d989a,4.02,61,45
95e03ca3d4146e4011985981aeb959b9,4.02,191,175
6b243f80ed07b10f0e8aa0f21a205f3c,4.02,89,79
c9aafcd0621b2207c10e32c649cada4d,4.02,52,44
f214d28e8d8e3ef068748498ccc2f813,4.02,58,54
3bdff180c7e1f6551a643b99c265a120,4.02,60,59
bd23da7354813347129d751591d1a6e2,4.02,89,89
0c8380b62e38e8a1e6adbeba7eb9688c,4.03,218,182
96493fab2fbb13a14d0c0e8772eef5c3,4.03,63,63
a3e9a2c700480d9bb01fba070ba80a0e,4.03,142,130
7178f9f4dd81dcef02f62acdf8151e01,4.03,215,203
16090f2ca825584b5a147ab24aa30c86,4.04,407,402
2e90cb1677d35cfe24eef47d441b7c87,4.04,137,127
c826c40d7b19f62a09e2d7c5e7295ee2,4.04,371,354
9c0e69c7bf2619675bbadf47b43f655a,4.04,204,157
53e4c6e0f4312d4d2107a8c9cddf45cd,4.04,520,473
6c177e38df6d3f34182b1f1d427231bf,4.04,56,55
8648b1e89e9b349e32d3741b30ec737e,4.04,103,95
48436dade18ac8b2bce089ec2a041202,4.05,151,138
b4ffb71f0cb1b1c3d63fad021ecf93e1,4.05,165,144
77530e9772f57a62c906e1c21538ab82,4.05,387,320
7aa4334be125fcdd2ba64b3180029f14,4.05,238,217
8e8a7ce9f2f970dc00e2acf6f6e199f6,4.05,65,65
955fee9216a65b617aa5c0531780ce60,4.05,1487,1287
5d0363b33554b373851fc1622e4d5f3c,4.05,95,94
aaed1309374718fdd995ee4c58c9dfcd,4.05,112,105
adbc26658d6c7b4b6219f9d934598091,4.05,92,88
a888faf2d1baececa6baf9c3d603ee1f,4.05,55,54
cc63f0dd2acba93ffed4fe9f8e0321fa,4.05,63,55
45d33f715e24d15a6ccf5c17b3a23e3c,4.05,61,59
c8b0e2b0a7095e5d8219575d5e7e1181,4.05,84,84
e26901d5ab434ce92fd9b5c256820a4e,4.06,221,202
8b9d6eec4a7eb7d0f9d579ce0b38324d,4.06,53,49
b92e3c8f9738272ff7c59e111e108d7c,4.06,70,62
8f2ce03f928b567e3d56181ae20ae952,4.06,174,153
7142540dd4c91e2237acb7e911c4eba2,4.06,329,319
da8622b14eb17ae2831f4ac5b9dab84a,4.07,1545,1314
1b8356dabde1d35e17cef975c3f82730,4.08,61,56
0c7533c71df861ec58ad7ff999ed0e8d,4.08,73,61
4e17c65a516f69d023a2ae78b84f28d6,4.08,74,61
2a5b78b41cd05baeac8df54c6606b92c,4.08,60,49
37515688008a7a40ac93e3b2e4ab203f,4.08,238,228
cbd996ad3c1b7dc71fd0e5f5df9087e2,4.08,185,165
cc419e0650a3c5ba77189a1882b7556a,4.08,1767,1706
1da3aeb70d7989d1e6d9b0e887f97c23,4.08,326,265
53243585a1d6dc2643021fd1853d8905,4.08,408,358
7ea5bfa6c340f58f8e71fc1f0412b0d6,4.08,103,98
76d5af76d0271110f9af36c92573f765,4.08,158,131
f80edd2c5aaa505cc4b0a3b219abf4b8,4.08,127,119
1127b7f2594683f2510f1c2c834a486b,4.09,132,114
2a7dc43cecabf23403078e2188437d1d,4.09,54,52
f27e33c6d29b5138fa9967bcd445b6d5,4.09,98,93
