seller_id,late_count,late_rate,avg_delay,total_orders_x,avg_review_score,review_count,total_orders_y,combined_problem_score
8648b1e89e9b349e32d3741b30ec737e,9,9.0,-11.24,93,4.04,103,95,1.41
4869f7a5dfa277a7dca6462dcf3b52b2,121,10.54006968641115,-10.45,1124,4.12,1148,1132,1.4070034843205574
6d66611d7c44cc30ce351abc49a68421,11,6.321839080459771,-10.06,164,3.91,174,166,1.4060919540229884
f4aba7c0bca51484c30ab7bdc34bcdd1,7,6.086956521739131,-15.0,108,3.9,115,110,1.4043478260869566
b499c00f28f4b7069ff6550af8c1348a,20,10.989010989010989,-11.46,147,4.15,187,152,1.3994505494505491
1f50f920176fa81dab994f9023523100,150,7.78816199376947,-10.13,1399,3.99,1923,1404,1.3994080996884732
d673a59aac7a70d8b01e6902bf090a11,6,7.142857142857142,-11.41,79,3.96,84,79,1.3971428571428572
b561927807645834b59ef0d16ba55a24,14,14.736842105263156,-8.06,85,4.34,95,85,1.3968421052631579
77530e9772f57a62c906e1c21538ab82,34,8.923884514435695,-10.2,312,4.05,387,320,1.396194225721785
4e17c65a516f69d023a2ae78b84f28d6,7,9.45945945945946,-20.09,61,4.08,74,61,1.392972972972973
a3e9a2c700480d9bb01fba070ba80a0e,12,8.391608391608392,-9.48,129,4.03,142,130,1.3895804195804193
09f952a5f58d2285b0372551ae8f9b01,3,5.357142857142857,-11.41,50,3.88,56,50,1.387857142857143
a416b6a846a11724393025641d4edd5e,19,10.795454545454545,-9.91,157,4.16,181,162,1.3797727272727272
8e6cc767478edae941d9bd9eb778d77a,6,5.555555555555555,-12.8,100,3.9,112,106,1.3777777777777778
5d0363b33554b373851fc1622e4d5f3c,8,8.51063829787234,-8.23,93,4.05,95,94,1.3755319148936171
cca3071e3e9bb7d12640c9fbe2301306,37,4.528763769889841,-14.62,699,3.86,812,712,1.3664381884944923
3be634553519fb6536a03e1358e9fdc7,6,6.315789473684211,-10.13,80,3.95,99,83,1.3657894736842104
00fc707aaaad2d31347cf883cd2dfe10,5,3.7037037037037033,-14.83,103,3.82,134,103,1.3651851851851853
9c0e69c7bf2619675bbadf47b43f655a,16,8.0,-7.45,151,4.04,204,157,1.3599999999999999
7202e2ba20579a9bd1acb29e61fe71f6,2,3.7735849056603774,-11.44,51,3.83,54,53,1.3586792452830188
001cca7ae9ae17fb1caed9dfb1094831,12,5.128205128205128,-12.57,195,3.9,236,200,1.3564102564102565
16090f2ca825584b5a147ab24aa30c86,32,7.8817733990147785,-8.94,398,4.04,407,402,1.3540886699507388
fcb5ace8bcc92f75707dc0f01a27d269,2,2.857142857142857,-8.51,59,3.79,72,62,1.3528571428571428
6560211a19b47992c3666cc44a7e94c0,102,5.110220440881764,-11.01,1819,3.91,2014,1854,1.345511022044088
76d5af76d0271110f9af36c92573f765,13,8.38709677419355,-11.8,128,4.08,158,131,1.3393548387096774
0adac9fbd9a2b63cccaac4f8756c1ca8,6,4.477611940298507,-10.6,106,3.89,141,110,1.3338805970149252
f214d28e8d8e3ef068748498ccc2f813,4,7.017543859649122,-12.38,52,4.02,58,54,1.3308771929824565
2138ccb85b11a4ec1e37afbd1c8eda1f,19,4.534606205250596,-12.04,388,3.9,428,396,1.3267303102625299
f27e33c6d29b5138fa9967bcd445b6d5,8,8.16326530612245,-9.98,93,4.09,98,93,1.3181632653061226
37515688008a7a40ac93e3b2e4ab203f,19,7.949790794979079,-7.35,227,4.08,238,228,1.3174895397489539
ca3bd7cd9f149df75950150d010fe4a2,1,0.7407407407407408,-16.2,68,3.72,138,71,1.3170370370370368
ececbfcff9804a2d6b40f589df8eef2b,9,8.737864077669903,-11.12,97,4.12,104,98,1.316893203883495
cbd996ad3c1b7dc71fd0e5f5df9087e2,15,7.936507936507936,-10.59,160,4.08,185,165,1.3168253968253967
c826c40d7b19f62a09e2d7c5e7295ee2,26,7.123287671232877,-9.17,346,4.04,371,354,1.316164383561644
3db66a856d18a9cba7c9241fc5221c50,10,10.309278350515463,-11.2,94,4.2,97,94,1.315463917525773
ce7d1888639e6fb06b2749cbfdac1ff7,7,8.333333333333332,-12.11,78,4.11,84,78,1.3066666666666662
c8b0e2b0a7095e5d8219575d5e7e1181,6,7.0588235294117645,-10.11,84,4.05,84,84,1.3029411764705885
48162d548f5b1b11b9d29d1e01f75a61,1,1.1235955056179776,-12.19,66,3.76,91,68,1.296179775280899
92eb0f42c21942b6552362b9b114707d,16,4.4692737430167595,-9.73,334,3.93,362,341,1.2934636871508378
7142540dd4c91e2237acb7e911c4eba2,23,7.01219512195122,-13.15,316,4.06,329,319,1.2906097560975613
48436dade18ac8b2bce089ec2a041202,10,6.802721088435375,-9.39,134,4.05,151,138,1.2901360544217688
1eade46fba20122dc4aefb379f8c636b,9,12.0,-6.89,58,4.31,75,58,1.2900000000000005
966cb4760537b1404caedd472cc610a5,2,2.9850746268656714,-14.8,67,3.86,74,75,1.2892537313432837
96493fab2fbb13a14d0c0e8772eef5c3,4,6.25,-9.53,63,4.03,63,63,1.2824999999999998
7681ef142fd2c19048da7430856b5588,6,7.894736842105263,-8.78,58,4.12,75,59,1.2747368421052632
955fee9216a65b617aa5c0531780ce60,95,6.453804347826086,-9.63,1261,4.05,1487,1287,1.2726902173913044
