seller_id,late_count,late_rate,avg_delay,total_orders
729f06993dac8e860d4f02d7088ca48a,9,7.964601769911504,-10.47,94
37515688008a7a40ac93e3b2e4ab203f,19,7.949790794979079,-7.35,227
058fd0aa2bfdb2274e05e1ae971dabb6,5,7.936507936507936,-11.12,60
cbd996ad3c1b7dc71fd0e5f5df9087e2,15,7.936507936507936,-10.59,160
391fc6631aebcf3004804e51b40bcf1e,48,7.933884297520661,-11.03,521
7681ef142fd2c19048da7430856b5588,6,7.894736842105263,-8.78,58
9646c3513289980f17226a2fc4720dbd,6,7.894736842105263,-12.23,69
16090f2ca825584b5a147ab24aa30c86,32,7.8817733990147785,-8.94,398
715bbd5ba4e6b74cb0d2f29eb45058b0,5,7.8125,-12.85,62
1f50f920176fa81dab994f9023523100,150,7.78816199376947,-10.13,1399
ce248b21cb2adc36282ede306b7660e5,5,7.6923076923076925,-9.83,64
04308b1ee57b6625f47df1d56f00eedf,7,7.608695652173914,-10.88,92
6a8b085f816a1f75f92dbac6eb545f8f,10,7.518796992481203,-9.42,125
54a1852d1b8f10312c55e906355666ee,15,7.425742574257425,-10.19,198
624f4ece8da4aafb77699233d480f8ef,4,7.4074074074074066,-10.28,52
213b25e6f54661939f11710a6fddb871,14,7.368421052631578,-10.33,152
f262cbc1c910c83959f849465454ddd3,15,7.352941176470589,-9.2,189
e59aa562b9f8076dd550fcddf0e73491,6,7.317073170731707,-11.65,69
17e34d8224d27a541263c4c64b11a56b,19,7.307692307692308,-10.15,247
e24fc9fcd865784fb25705606fe3dfe7,4,7.2727272727272725,-12.76,51
e5a38146df062edaf55c38afa99e42dc,9,7.258064516129033,-9.93,120
a420f60ff1aa9acc80d0e42959f2b313,5,7.246376811594203,-12.12,67
ef0ace09169ac090589d85746e3e036f,10,7.194244604316546,-10.98,128
c9c7905cffc4ef9ff9f113554423e671,10,7.194244604316546,-9.37,127
7040e82f899a04d1b434b795a43b4617,16,7.174887892376682,-9.71,208
d673a59aac7a70d8b01e6902bf090a11,6,7.142857142857142,-11.41,79
6860153b69cc696d5dcfe1cdaaafcf62,6,7.142857142857142,-8.88,74
70c27847eca8195c983ed7e798c56743,7,7.142857142857142,-11.18,77
c826c40d7b19f62a09e2d7c5e7295ee2,26,7.123287671232877,-9.17,346
